Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
8/7/2018,370.75,371,373.25,368.75,167.09,-0.001,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/6/2018,371,370,371.75,368.25,80.95,0.003,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/3/2018,369.75,366.75,371.25,364.75,77.99,0.008,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/2/2018,366.75,365,372.75,364.75,161.08,0.005,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
8/1/2018,365,372,373,364,120.05,-0.02,,,,,8,2018,,,,,,,,,,,,,,,,,,,,,
7/31/2018,372.25,367,374.25,366.25,141.81,0.014,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/30/2018,367.25,364,369.25,363.5,127.46,0.015,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/27/2018,362,361,363.75,359.5,133.49,0.001,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/26/2018,361.5,361,365.75,360.25,146.38,0.006,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/25/2018,359.25,352.25,360,352,121.59,0.021,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/24/2018,352,355.25,356.5,351.5,105.61,-0.015,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/23/2018,357.25,356,358.5,354.5,75.4,0.006,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/20/2018,355.25,351.25,355.75,349.75,69.61,0.011,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/19/2018,351.25,347,352,345,81.41,0.012,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/18/2018,347.25,346.25,349,346,81.87,0.003,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/17/2018,346.25,345,348.75,344.25,100.12,0.013,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/16/2018,341.75,340,345.75,338.75,95.29,0.035,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/13/2018,330.25,332.25,332.5,332.25,0.27,-0.019,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/12/2018,336.5,332.25,340.75,329.75,0.53,0.016,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/11/2018,331.25,336,337,331.5,1.53,-0.025,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/10/2018,339.75,344.25,344.75,336.25,2.74,-0.017,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/9/2018,345.75,346,348.5,342.5,3.26,-0.017,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/6/2018,351.75,342,352.25,342,3.07,0.024,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/5/2018,343.5,345.5,348.75,341.5,3.3,0.002,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/3/2018,342.75,340.25,345.25,339.25,3.05,0.016,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
7/2/2018,337.5,352.25,352.25,337,7.67,-0.036,,,,,7,2018,,,,,,,,,,,,,,,,,,,,,
6/29/2018,350.25,345.75,355.5,345.5,19.39,0.015,,,,,6,2018,,,,,,,,,,,,,,,,,,,,,
6/28/2018,345,351.5,352.5,344.5,143.97,-0.021,,,,,6,2018,,,,,,,,,,,,,,,,,,,,,
6/27/2018,352.5,352,356.5,351.5,163.32,0,,,,,6,2018,,,,,,,,,,,,,,,,,,,,,
6/26/2018,352.5,350.5,355.5,348,227.15,0.006,,,,,6,2018,,,,,,,,,,,,,,,,,,,,,
6/25/2018,350.5,358.5,359.5,349.25,203.16,-0.019,,,,,6,2018,,,,,,,,,,,,,,,,,,,,,
6/22/2018,357.25,358,359.75,355,141.68,0.001,,,,,6,2018,,,,,,,,,,,,,,,,,,,,,
6/21/2018,357,354.25,359,349.25,168.57,0.008,,,,,6,2018,,,,,,,,,,,,,,,,,,,,,
6/20/2018,354.25,354,357,347.5,200.17,0.001,,,,,6,2018,,,,,,,,,,,,,,,,,,,,,
